lexeme_id	language	root_id	root_radicals_dotted	shin_sin_resolution	root_homonym_index	binyan	binyan_raw	lemma_vocalized	lemma_unvocalized	infinitive_vocalized	infinitive_unvocalized	citation_past_3ms_vocalized	citation_past_3ms_unvocalized	gloss_en	sense_id	modern_hebrew	attested	has_unimorph_paradigm	source_primary	source_ids	match_status	match_method	match_score	match_evidence	match_ambiguous	binyan_shape_heuristic	binyan_shape_rule	voc_unvoc_pairing_status	voc_unvoc_pairing_score	gizra_labels	wiktionary_registers	n_cells	past_expected_cells	past_observed_cells	past_completeness	past_complete	ud_attested	confidence_root	confidence_binyan	confidence_lexeme	quality_tier	quality_flags
LX-ef7b289959	heb							אִבְטֵחַ	איבטח	לְאַבְטֵחַ	לאבטח	אִבְטֵחַ	איבטח			True	True	True	unimorph_heb	heb_voc:79|heb:214	NO_MATCH		0.0		False	PIEL	prs_me	PAIRED	1.0			29	9	9	1.0	True	False	0.0	0.0	0.0	QUESTIONABLE	BINYAN_MISSING|ROOT_MISSING
LX-31c701a1d6	heb							אִחֵד	איחד	לְאַחֵד	לאחד	אִחֵד	איחד			True	True	True	unimorph_heb	heb_voc:134|heb:243	NO_MATCH		0.0		False	PIEL	prs_me	PAIRED	1.0			29	9	9	1.0	True	True	0.0	0.0	0.0	QUESTIONABLE	BINYAN_MISSING|ROOT_MISSING
LX-8f1e02a14f	heb	RT-3dad239027	א-ב-ד	NA		PAAL	קל	אָבַד	אבד	לֶאֱבֹד	לאבוד	אָבַד	אבד	get lost		True	True	True	unimorph_heb	heb_voc:241|heb:1|wikt:conj:p16602:r445684:t0:קל עבר|wikt:conj:p16602:r445684:t0:קל שם הפועל|wikt:entry:p1597:r519104:o0:t0	MATCHED	conj_table_infinitive_exact|conj_table_past_exact|entry_headword_exact	0.988	"[{""method"": ""entry_headword_exact"", ""kind"": ""entry"", ""weight"": 0.8, ""record_id"": ""wikt:entry:p1597:r519104:o0:t0"", ""matched_string"": ""אָבַד"", ""root"": ""א-ב-ד"", ""root_bare"": ""אבד"", ""binyan"": ""PAAL"", ""binyan_raw"": ""קל"", ""page_title"": ""אבד"", ""page_id"": 1597, ""rev_id"": 519104, ""extra"": {""gizra_labels"": ""PE_ALEF"", ""gizra_raw"": ""גזרת נפ\""א"", ""gloss_en"": ""get lost"", ""registers"": ""לשון המקרא"", ""heading"": ""אָבַד"", ""root_value_raw"": ""{{שרש|אבד|א־ב־ד}}, [[גזרת נפ\""א]]"", ""ktiv_male"": ""אבד""}}, {""method"": ""conj_table_past_exact"", ""kind"": ""conj_table"", ""weight"": 0.8, ""record_id"": ""wikt:conj:p16602:r445684:t0:קל עבר"", ""matched_string"": ""אָבַד"", ""root"": ""א-ב-ד"", ""root_bare"": ""אבד"", ""binyan"": ""PAAL"", ""binyan_raw"": ""קל"", ""page_title"": ""אבד (שורש)"", ""page_id"": 16602, ""rev_id"": 445684, ""extra"": {""root_value_raw"": ""א־ב־ד"", ""value_raw"": ""[[אבד#אָבַד|אָבַד]]""}}, {""method"": ""conj_table_infinitive_exact"", ""kind"": ""conj_table"", ""weight"": 0.7, ""record_id"": ""wikt:conj:p16602:r445684:t0:קל שם הפועל"", ""matched_string"": ""לֶאֱבֹד"", ""root"": ""א-ב-ד"", ""root_bare"": ""אבד"", ""binyan"": ""PAAL"", ""binyan_raw"": ""קל"", ""page_title"": ""אבד (שורש)"", ""page_id"": 16602, ""rev_id"": 445684, ""extra"": {""root_value_raw"": ""א־ב־ד"", ""value_raw"": ""לֶאֱבֹד""}}, {""method"": ""entry_ktiv_male_unvocalized"", ""kind"": ""entry"", ""weight"": 0.3, ""record_id"": ""wikt:entry:p1597:r519104:o0:t0"", ""matched_string"": ""אבד"", ""root"": ""א-ב-ד"", ""root_bare"": ""אבד"", ""binyan"": ""PAAL"", ""binyan_raw"": ""קל"", ""page_title"": ""אבד"", ""page_id"": 1597, ""rev_id"": 519104, ""extra"": {""gizra_labels"": ""PE_ALEF"", ""gizra_raw"": ""גזרת נפ\""א"", ""gloss_en"": ""get lost"", ""registers"": ""לשון המקרא"", ""heading"": ""אָבַד"", ""root_value_raw"": ""{{שרש|אבד|א־ב־ד}}, [[גזרת נפ\""א]]"", ""ktiv_male"": ""אבד""}}]"	False	PAAL	prs_no_prefix	PAIRED	1.0	PE_ALEF	לשון המקרא	28	9	9	1.0	True	True	0.988	0.988	0.988	GOLD	
LX-d0cbfb1ff3	heb	RT-9882de8f3f	א-ג-ר	NA		PAAL	פָּעַל (קל)	אָגַר	אגר	לֶאֱגֹר	לאגור	אָגַר	אגר	accumulate; gather		True	True	True	unimorph_heb	heb_voc:269|heb:29|wikt:entry:p22529:r461215:o25:t0	MATCHED	entry_headword_exact	0.8	"[{""method"": ""entry_headword_exact"", ""kind"": ""entry"", ""weight"": 0.8, ""record_id"": ""wikt:entry:p22529:r461215:o25:t0"", ""matched_string"": ""אָגַר"", ""root"": ""א-ג-ר"", ""root_bare"": ""אגר"", ""binyan"": ""PAAL"", ""binyan_raw"": ""פָּעַל (קל)"", ""page_title"": ""אגר"", ""page_id"": 22529, ""rev_id"": 461215, ""extra"": {""gizra_labels"": ""SHLEMIM"", ""gizra_raw"": ""שלמים"", ""gloss_en"": ""accumulate; gather"", ""heading"": ""אָגַר"", ""root_value_raw"": ""{{שרש|אגר|א־ג־ר}}, שלמים"", ""ktiv_male"": ""אגר""}}, {""method"": ""entry_ktiv_male_unvocalized"", ""kind"": ""entry"", ""weight"": 0.3, ""record_id"": ""wikt:entry:p22529:r461215:o25:t0"", ""matched_string"": ""אגר"", ""root"": ""א-ג-ר"", ""root_bare"": ""אגר"", ""binyan"": ""PAAL"", ""binyan_raw"": ""פָּעַל (קל)"", ""page_title"": ""אגר"", ""page_id"": 22529, ""rev_id"": 461215, ""extra"": {""gizra_labels"": ""SHLEMIM"", ""gizra_raw"": ""שלמים"", ""gloss_en"": ""accumulate; gather"", ""heading"": ""אָגַר"", ""root_value_raw"": ""{{שרש|אגר|א־ג־ר}}, שלמים"", ""ktiv_male"": ""אגר""}}]"	False	PAAL	prs_no_prefix	PAIRED	1.0	SHLEMIM		29	9	9	1.0	True	False	0.8	0.8	0.8	SILVER	SINGLE_EVIDENCE_KIND_BINYAN|SINGLE_EVIDENCE_KIND_ROOT
LX-042da2e637	heb	RT-71aefe28e6	א-מ-ר	NA	א	PAAL	קל	אָמַר	אמר	לוֹמַר	לומר	אָמַר	אמר	say; decir		True	True	True	unimorph_heb	heb_voc:324|heb:324|wikt:conj:p32359:r511156:t0:קל עבר|wikt:conj:p32359:r511156:t0:קל שם הפועל|wikt:entry:p20369:r519536:o98:t0	MATCHED	conj_table_infinitive_exact|conj_table_past_exact|entry_headword_exact	0.988	"[{""method"": ""entry_headword_exact"", ""kind"": ""entry"", ""weight"": 0.8, ""record_id"": ""wikt:entry:p20369:r519536:o98:t0"", ""matched_string"": ""אָמַר"", ""root"": ""א-מ-ר"", ""root_bare"": ""אמר"", ""binyan"": ""PAAL"", ""binyan_raw"": ""קל"", ""page_title"": ""אמר"", ""page_id"": 20369, ""rev_id"": 519536, ""extra"": {""gizra_labels"": ""PE_ALEF"", ""gizra_raw"": ""גזרת נפ\""א"", ""gloss_en"": ""say; decir"", ""homonym"": ""א"", ""heading"": ""אָמַר"", ""root_value_raw"": ""{{שרש3|א|מ|ר|א}}, [[גזרת נפ\""א]]"", ""ktiv_male"": ""אמר""}}, {""method"": ""conj_table_past_exact"", ""kind"": ""conj_table"", ""weight"": 0.8, ""record_id"": ""wikt:conj:p32359:r511156:t0:קל עבר"", ""matched_string"": ""אָמַר"", ""root"": ""א-מ-ר"", ""root_bare"": ""אמר"", ""binyan"": ""PAAL"", ""binyan_raw"": ""קל"", ""page_title"": ""אמר א (שורש)"", ""page_id"": 32359, ""rev_id"": 511156, ""extra"": {""root_value_raw"": ""א־מ־ר"", ""value_raw"": ""[[אמר|אָמַר]]""}}, {""method"": ""conj_table_infinitive_exact"", ""kind"": ""conj_table"", ""weight"": 0.7, ""record_id"": ""wikt:conj:p32359:r511156:t0:קל שם הפועל"", ""matched_string"": ""לוֹמַר"", ""root"": ""א-מ-ר"", ""root_bare"": ""אמר"", ""binyan"": ""PAAL"", ""binyan_raw"": ""קל"", ""page_title"": ""אמר א (שורש)"", ""page_id"": 32359, ""rev_id"": 511156, ""extra"": {""root_value_raw"": ""א־מ־ר"", ""value_raw"": ""לֵאמֹר או לוֹמַר""}}, {""method"": ""entry_ktiv_male_unvocalized"", ""kind"": ""entry"", ""weight"": 0.3, ""record_id"": ""wikt:entry:p20369:r519536:o98:t0"", ""matched_string"": ""אמר"", ""root"": ""א-מ-ר"", ""root_bare"": ""אמר"", ""binyan"": ""PAAL"", ""binyan_raw"": ""קל"", ""page_title"": ""אמר"", ""page_id"": 20369, ""rev_id"": 519536, ""extra"": {""gizra_labels"": ""PE_ALEF"", ""gizra_raw"": ""גזרת נפ\""א"", ""gloss_en"": ""say; decir"", ""homonym"": ""א"", ""heading"": ""אָמַר"", ""root_value_raw"": ""{{שרש3|א|מ|ר|א}}, [[גזרת נפ\""א]]"", ""ktiv_male"": ""אמר""}}]"	False	PAAL	prs_no_prefix	PAIRED	1.0	PE_ALEF		29	9	9	1.0	True	True	0.988	0.988	0.988	GOLD	
LX-445cda1ca3	heb	RT-f9311c4c6e	א-ו-צ	NA		PAAL	קל	אָץ	אץ	לָאוּץ	לאוץ	אָץ	אץ	hurry; hasten		True	True	True	unimorph_heb	heb_voc:353|heb:379|wikt:entry:p51267:r519978:o0:t0	MATCHED	entry_headword_exact	0.8	"[{""method"": ""entry_headword_exact"", ""kind"": ""entry"", ""weight"": 0.8, ""record_id"": ""wikt:entry:p51267:r519978:o0:t0"", ""matched_string"": ""אָץ"", ""root"": ""א-ו-צ"", ""root_bare"": ""אוצ"", ""binyan"": ""PAAL"", ""binyan_raw"": ""קל"", ""page_title"": ""אץ"", ""page_id"": 51267, ""rev_id"": 519978, ""extra"": {""gloss_en"": ""hurry; hasten"", ""registers"": ""המקרא"", ""heading"": ""אָץ"", ""root_value_raw"": ""{{שרש3|א|ו|ץ}}"", ""ktiv_male"": ""אץ""}}, {""method"": ""entry_ktiv_male_unvocalized"", ""kind"": ""entry"", ""weight"": 0.3, ""record_id"": ""wikt:entry:p51267:r519978:o0:t0"", ""matched_string"": ""אץ"", ""root"": ""א-ו-צ"", ""root_bare"": ""אוצ"", ""binyan"": ""PAAL"", ""binyan_raw"": ""קל"", ""page_title"": ""אץ"", ""page_id"": 51267, ""rev_id"": 519978, ""extra"": {""gloss_en"": ""hurry; hasten"", ""registers"": ""המקרא"", ""heading"": ""אָץ"", ""root_value_raw"": ""{{שרש3|א|ו|ץ}}"", ""ktiv_male"": ""אץ""}}]"	False	PAAL	prs_no_prefix	PAIRED	1.0		המקרא	28	9	9	1.0	True	False	0.8	0.8	0.8	SILVER	SINGLE_EVIDENCE_KIND_BINYAN|SINGLE_EVIDENCE_KIND_ROOT
LX-202db61ffe	heb							אֻבְטַח	אובטח			אֻבְטַח	אובטח			True	True	True	unimorph_heb	heb_voc:407|heb:84	NO_MATCH		0.0		False	PUAL	prs_me_u_vowel	PAIRED	1.0			23	9	9	1.0	True	False	0.0	0.0	0.0	QUESTIONABLE	BINYAN_MISSING|ROOT_MISSING
LX-16090f6c24	heb	RT-8c55116304	א-ו-נ	NA		PIEL	פיעל	אוֹנֵן	אונן	לְאוֹנֵן	לאונן	אוֹנֵן	אונן	masturbate	אוֹנֵן {{משני|א}}	True	True	True	unimorph_heb	heb_voc:430|heb:133|wikt:entry:p6754:r498812:o0:t0	MATCHED	entry_headword_exact	0.8	"[{""method"": ""entry_headword_exact"", ""kind"": ""entry"", ""weight"": 0.8, ""record_id"": ""wikt:entry:p6754:r498812:o0:t0"", ""matched_string"": ""אוֹנֵן"", ""root"": ""א-ו-נ"", ""root_bare"": ""אונ"", ""binyan"": ""PIEL"", ""binyan_raw"": ""פיעל"", ""page_title"": ""אונן"", ""page_id"": 6754, ""rev_id"": 498812, ""extra"": {""gloss_en"": ""masturbate"", ""heading"": ""אוֹנֵן {{משני|א}}"", ""root_value_raw"": ""{{שרש3|א|ו|ן|גזרה=נע\""ו/י}}"", ""ktiv_male"": ""אונן""}}, {""method"": ""entry_ktiv_male_unvocalized"", ""kind"": ""entry"", ""weight"": 0.3, ""record_id"": ""wikt:entry:p6754:r498812:o0:t0"", ""matched_string"": ""אונן"", ""root"": ""א-ו-נ"", ""root_bare"": ""אונ"", ""binyan"": ""PIEL"", ""binyan_raw"": ""פיעל"", ""page_title"": ""אונן"", ""page_id"": 6754, ""rev_id"": 498812, ""extra"": {""gloss_en"": ""masturbate"", ""heading"": ""אוֹנֵן {{משני|א}}"", ""root_value_raw"": ""{{שרש3|א|ו|ן|גזרה=נע\""ו/י}}"", ""ktiv_male"": ""אונן""}}]"	False	PIEL	prs_me	PAIRED	1.0			29	9	9	1.0	True	False	0.8	0.8	0.8	SILVER	SINGLE_EVIDENCE_KIND_BINYAN|SINGLE_EVIDENCE_KIND_ROOT
LX-bd5b8d806e	heb	RT-0a80ec9b56	ב-ט-א	NA		PIEL	פיעל	בִּטֵּא	ביטא	לְבַטֵּא	לבטא	בִּטֵּא	ביטא	express		True	True	True	unimorph_heb	heb_voc:537|heb:759|wikt:conj:p31377:r360378:t0:פיעל עבר|wikt:conj:p31377:r360378:t0:פיעל שם הפועל|wikt:entry:p31375:r517575:o1173:t0	MATCHED	conj_table_infinitive_exact|conj_table_past_exact|entry_headword_exact	0.988	"[{""method"": ""entry_headword_exact"", ""kind"": ""entry"", ""weight"": 0.8, ""record_id"": ""wikt:entry:p31375:r517575:o1173:t0"", ""matched_string"": ""בִּטֵּא"", ""root"": ""ב-ט-א"", ""root_bare"": ""בטא"", ""binyan"": ""PIEL"", ""binyan_raw"": ""פיעל"", ""page_title"": ""בטא"", ""page_id"": 31375, ""rev_id"": 517575, ""extra"": {""gizra_labels"": ""LAMED_ALEF"", ""gizra_raw"": ""גזרת נל\""א"", ""gloss_en"": ""express"", ""heading"": ""בִּטֵּא"", ""root_value_raw"": ""{{שרש3|ב|ט|א}}, [[גזרת נל\""א]]"", ""ktiv_male"": ""ביטא""}}, {""method"": ""conj_table_past_exact"", ""kind"": ""conj_table"", ""weight"": 0.8, ""record_id"": ""wikt:conj:p31377:r360378:t0:פיעל עבר"", ""matched_string"": ""בִּטֵּא"", ""root"": ""ב-ט-א"", ""root_bare"": ""בטא"", ""binyan"": ""PIEL"", ""binyan_raw"": ""פיעל"", ""page_title"": ""בטא (שורש)"", ""page_id"": 31377, ""rev_id"": 360378, ""extra"": {""root_value_raw"": ""ב־ט־א"", ""value_raw"": ""[[בטא#בִּטֵּא|בִּטֵּא]]""}}, {""method"": ""conj_table_infinitive_exact"", ""kind"": ""conj_table"", ""weight"": 0.7, ""record_id"": ""wikt:conj:p31377:r360378:t0:פיעל שם הפועל"", ""matched_string"": ""לְבַטֵּא"", ""root"": ""ב-ט-א"", ""root_bare"": ""בטא"", ""binyan"": ""PIEL"", ""binyan_raw"": ""פיעל"", ""page_title"": ""בטא (שורש)"", ""page_id"": 31377, ""rev_id"": 360378, ""extra"": {""root_value_raw"": ""ב־ט־א"", ""value_raw"": ""לְבַטֵּא""}}, {""method"": ""entry_ktiv_male_unvocalized"", ""kind"": ""entry"", ""weight"": 0.3, ""record_id"": ""wikt:entry:p31375:r517575:o1173:t0"", ""matched_string"": ""ביטא"", ""root"": ""ב-ט-א"", ""root_bare"": ""בטא"", ""binyan"": ""PIEL"", ""binyan_raw"": ""פיעל"", ""page_title"": ""בטא"", ""page_id"": 31375, ""rev_id"": 517575, ""extra"": {""gizra_labels"": ""LAMED_ALEF"", ""gizra_raw"": ""גזרת נל\""א"", ""gloss_en"": ""express"", ""heading"": ""בִּטֵּא"", ""root_value_raw"": ""{{שרש3|ב|ט|א}}, [[גזרת נל\""א]]"", ""ktiv_male"": ""ביטא""}}]"	False	PIEL	prs_me	PAIRED	1.0	LAMED_ALEF		29	9	9	1.0	True	True	0.988	0.988	0.988	GOLD	
LX-cd0c117aac	heb	RT-70dd45ab73	ב-כ-ה	NA		PIEL	פיעל	בִּכָּה	ביכה	לְבַכּוֹת	לבכות	בִּכָּה	ביכה			True	True	True	unimorph_heb	heb_voc:566|heb:788|wikt:entry:p46624:r513282:o2754:t0	MATCHED	entry_headword_exact	0.8	"[{""method"": ""entry_headword_exact"", ""kind"": ""entry"", ""weight"": 0.8, ""record_id"": ""wikt:entry:p46624:r513282:o2754:t0"", ""matched_string"": ""בִּכָּה"", ""root"": ""ב-כ-ה"", ""root_bare"": ""בכה"", ""binyan"": ""PIEL"", ""binyan_raw"": ""פיעל"", ""page_title"": ""בכה"", ""page_id"": 46624, ""rev_id"": 513282, ""extra"": {""heading"": ""בִּכָּה"", ""root_value_raw"": ""{{שרש3|ב|כ|ה}}"", ""ktiv_male"": ""בעכה""}}]"	False	PIEL	prs_me	PAIRED	1.0			29	9	9	1.0	True	True	0.8	0.8	0.8	SILVER	SINGLE_EVIDENCE_KIND_BINYAN|SINGLE_EVIDENCE_KIND_ROOT
