lexeme_id	language	root_id	root_radicals_dotted	shin_sin_resolution	root_homonym_index	binyan	binyan_raw	lemma_vocalized	lemma_unvocalized	infinitive_vocalized	infinitive_unvocalized	citation_past_3ms_vocalized	citation_past_3ms_unvocalized	gloss_en	sense_id	modern_hebrew	attested	has_unimorph_paradigm	source_primary	source_ids	match_status	match_method	match_score	match_evidence	match_ambiguous	binyan_shape_heuristic	binyan_shape_rule	voc_unvoc_pairing_status	voc_unvoc_pairing_score	gizra_labels	wiktionary_registers	n_cells	past_expected_cells	past_observed_cells	past_completeness	past_complete	ud_attested	confidence_root	confidence_binyan	confidence_lexeme	quality_tier	quality_flags
SYN-LX-6bc435e62d	x-syn-heb	SYN-RT-4b918b4f1f	ב-ג-ז	NA		PAAL	synthetic_template:PAAL	בָגַז	בגז			בָגַז	בגז			False	False	False	synthetic_v1	synthetic_v1:lexeme:בגז:PAAL	SYNTHETIC		1.0		False							9	9	9	1.0	True	False	1.0	1.0	1.0	GOLD	SYNTHETIC
SYN-LX-47e2cc93d0	x-syn-heb	SYN-RT-4b918b4f1f	ב-ג-ז	NA		NIFAL	synthetic_template:NIFAL	נִבְגַז	נבגז			נִבְגַז	נבגז			False	False	False	synthetic_v1	synthetic_v1:lexeme:בגז:NIFAL	SYNTHETIC		1.0		False							9	9	9	1.0	True	False	1.0	1.0	1.0	GOLD	SYNTHETIC
SYN-LX-5da518f6cb	x-syn-heb	SYN-RT-4b918b4f1f	ב-ג-ז	NA		PIEL	synthetic_template:PIEL	בִגֵּז	בגז			בִגֵּז	בגז			False	False	False	synthetic_v1	synthetic_v1:lexeme:בגז:PIEL	SYNTHETIC		1.0		False							9	9	9	1.0	True	False	1.0	1.0	1.0	GOLD	SYNTHETIC
SYN-LX-646bf47d06	x-syn-heb	SYN-RT-4b918b4f1f	ב-ג-ז	NA		PUAL	synthetic_template:PUAL	בֻגַּז	בגז			בֻגַּז	בגז			False	False	False	synthetic_v1	synthetic_v1:lexeme:בגז:PUAL	SYNTHETIC		1.0		False							9	9	9	1.0	True	False	1.0	1.0	1.0	GOLD	SYNTHETIC
SYN-LX-42000590e5	x-syn-heb	SYN-RT-4b918b4f1f	ב-ג-ז	NA		HIFIL	synthetic_template:HIFIL	הִבְגִיז	הבגיז			הִבְגִיז	הבגיז			False	False	False	synthetic_v1	synthetic_v1:lexeme:בגז:HIFIL	SYNTHETIC		1.0		False							9	9	9	1.0	True	False	1.0	1.0	1.0	GOLD	SYNTHETIC
SYN-LX-54f1e54c50	x-syn-heb	SYN-RT-4b918b4f1f	ב-ג-ז	NA		HUFAL	synthetic_template:HUFAL	הֻבְגַז	הבגז			הֻבְגַז	הבגז			False	False	False	synthetic_v1	synthetic_v1:lexeme:בגז:HUFAL	SYNTHETIC		1.0		False							9	9	9	1.0	True	False	1.0	1.0	1.0	GOLD	SYNTHETIC
SYN-LX-3c81625bdc	x-syn-heb	SYN-RT-4b918b4f1f	ב-ג-ז	NA		HITPAEL	synthetic_template:HITPAEL	הִתְבַגֵּז	התבגז			הִתְבַגֵּז	התבגז			False	False	False	synthetic_v1	synthetic_v1:lexeme:בגז:HITPAEL	SYNTHETIC		1.0		False							9	9	9	1.0	True	False	1.0	1.0	1.0	GOLD	SYNTHETIC
SYN-LX-f874434d8f	x-syn-heb	SYN-RT-d80447359c	ב-ג-ל	NA		PAAL	synthetic_template:PAAL	בָגַל	בגל			בָגַל	בגל			False	False	False	synthetic_v1	synthetic_v1:lexeme:בגל:PAAL	SYNTHETIC		1.0		False							9	9	9	1.0	True	False	1.0	1.0	1.0	GOLD	SYNTHETIC
SYN-LX-b58820c84e	x-syn-heb	SYN-RT-d80447359c	ב-ג-ל	NA		NIFAL	synthetic_template:NIFAL	נִבְגַל	נבגל			נִבְגַל	נבגל			False	False	False	synthetic_v1	synthetic_v1:lexeme:בגל:NIFAL	SYNTHETIC		1.0		False							9	9	9	1.0	True	False	1.0	1.0	1.0	GOLD	SYNTHETIC
SYN-LX-f200d70777	x-syn-heb	SYN-RT-d80447359c	ב-ג-ל	NA		PIEL	synthetic_template:PIEL	בִגֵּל	בגל			בִגֵּל	בגל			False	False	False	synthetic_v1	synthetic_v1:lexeme:בגל:PIEL	SYNTHETIC		1.0		False							9	9	9	1.0	True	False	1.0	1.0	1.0	GOLD	SYNTHETIC
SYN-LX-60126c7467	x-syn-heb	SYN-RT-d80447359c	ב-ג-ל	NA		PUAL	synthetic_template:PUAL	בֻגַּל	בגל			בֻגַּל	בגל			False	False	False	synthetic_v1	synthetic_v1:lexeme:בגל:PUAL	SYNTHETIC		1.0		False							9	9	9	1.0	True	False	1.0	1.0	1.0	GOLD	SYNTHETIC
SYN-LX-e0362adba2	x-syn-heb	SYN-RT-d80447359c	ב-ג-ל	NA		HIFIL	synthetic_template:HIFIL	הִבְגִיל	הבגיל			הִבְגִיל	הבגיל			False	False	False	synthetic_v1	synthetic_v1:lexeme:בגל:HIFIL	SYNTHETIC		1.0		False							9	9	9	1.0	True	False	1.0	1.0	1.0	GOLD	SYNTHETIC
SYN-LX-b25673f5d1	x-syn-heb	SYN-RT-d80447359c	ב-ג-ל	NA		HUFAL	synthetic_template:HUFAL	הֻבְגַל	הבגל			הֻבְגַל	הבגל			False	False	False	synthetic_v1	synthetic_v1:lexeme:בגל:HUFAL	SYNTHETIC		1.0		False							9	9	9	1.0	True	False	1.0	1.0	1.0	GOLD	SYNTHETIC
SYN-LX-3c372aae35	x-syn-heb	SYN-RT-d80447359c	ב-ג-ל	NA		HITPAEL	synthetic_template:HITPAEL	הִתְבַגֵּל	התבגל			הִתְבַגֵּל	התבגל			False	False	False	synthetic_v1	synthetic_v1:lexeme:בגל:HITPAEL	SYNTHETIC		1.0		False							9	9	9	1.0	True	False	1.0	1.0	1.0	GOLD	SYNTHETIC
SYN-LX-6cf1f82c03	x-syn-heb	SYN-RT-7f09df643b	ב-ג-פ	NA		PAAL	synthetic_template:PAAL	בָגַף	בגף			בָגַף	בגף			False	False	False	synthetic_v1	synthetic_v1:lexeme:בגפ:PAAL	SYNTHETIC		1.0		False							9	9	9	1.0	True	False	1.0	1.0	1.0	GOLD	SYNTHETIC
SYN-LX-5093316f0b	x-syn-heb	SYN-RT-7f09df643b	ב-ג-פ	NA		NIFAL	synthetic_template:NIFAL	נִבְגַף	נבגף			נִבְגַף	נבגף			False	False	False	synthetic_v1	synthetic_v1:lexeme:בגפ:NIFAL	SYNTHETIC		1.0		False							9	9	9	1.0	True	False	1.0	1.0	1.0	GOLD	SYNTHETIC
SYN-LX-a029a7c9a1	x-syn-heb	SYN-RT-7f09df643b	ב-ג-פ	NA		PIEL	synthetic_template:PIEL	בִגֵּף	בגף			בִגֵּף	בגף			False	False	False	synthetic_v1	synthetic_v1:lexeme:בגפ:PIEL	SYNTHETIC		1.0		False							9	9	9	1.0	True	False	1.0	1.0	1.0	GOLD	SYNTHETIC
SYN-LX-0f4258d54f	x-syn-heb	SYN-RT-7f09df643b	ב-ג-פ	NA		PUAL	synthetic_template:PUAL	בֻגַּף	בגף			בֻגַּף	בגף			False	False	False	synthetic_v1	synthetic_v1:lexeme:בגפ:PUAL	SYNTHETIC		1.0		False							9	9	9	1.0	True	False	1.0	1.0	1.0	GOLD	SYNTHETIC
SYN-LX-a2534f165f	x-syn-heb	SYN-RT-7f09df643b	ב-ג-פ	NA		HIFIL	synthetic_template:HIFIL	הִבְגִיף	הבגיף			הִבְגִיף	הבגיף			False	False	False	synthetic_v1	synthetic_v1:lexeme:בגפ:HIFIL	SYNTHETIC		1.0		False							9	9	9	1.0	True	False	1.0	1.0	1.0	GOLD	SYNTHETIC
SYN-LX-eaaa0b012a	x-syn-heb	SYN-RT-7f09df643b	ב-ג-פ	NA		HUFAL	synthetic_template:HUFAL	הֻבְגַף	הבגף			הֻבְגַף	הבגף			False	False	False	synthetic_v1	synthetic_v1:lexeme:בגפ:HUFAL	SYNTHETIC		1.0		False							9	9	9	1.0	True	False	1.0	1.0	1.0	GOLD	SYNTHETIC
SYN-LX-29f4c78d56	x-syn-heb	SYN-RT-7f09df643b	ב-ג-פ	NA		HITPAEL	synthetic_template:HITPAEL	הִתְבַגֵּף	התבגף			הִתְבַגֵּף	התבגף			False	False	False	synthetic_v1	synthetic_v1:lexeme:בגפ:HITPAEL	SYNTHETIC		1.0		False							9	9	9	1.0	True	False	1.0	1.0	1.0	GOLD	SYNTHETIC
SYN-LX-54db95b486	x-syn-heb	SYN-RT-92e344ef0c	ב-ג-ק	NA		PAAL	synthetic_template:PAAL	בָגַק	בגק			בָגַק	בגק			False	False	False	synthetic_v1	synthetic_v1:lexeme:בגק:PAAL	SYNTHETIC		1.0		False							9	9	9	1.0	True	False	1.0	1.0	1.0	GOLD	SYNTHETIC
SYN-LX-08e2f08c92	x-syn-heb	SYN-RT-92e344ef0c	ב-ג-ק	NA		NIFAL	synthetic_template:NIFAL	נִבְגַק	נבגק			נִבְגַק	נבגק			False	False	False	synthetic_v1	synthetic_v1:lexeme:בגק:NIFAL	SYNTHETIC		1.0		False							9	9	9	1.0	True	False	1.0	1.0	1.0	GOLD	SYNTHETIC
SYN-LX-522f17ff26	x-syn-heb	SYN-RT-92e344ef0c	ב-ג-ק	NA		PIEL	synthetic_template:PIEL	בִגֵּק	בגק			בִגֵּק	בגק			False	False	False	synthetic_v1	synthetic_v1:lexeme:בגק:PIEL	SYNTHETIC		1.0		False							9	9	9	1.0	True	False	1.0	1.0	1.0	GOLD	SYNTHETIC
SYN-LX-cfd06bc9ff	x-syn-heb	SYN-RT-92e344ef0c	ב-ג-ק	NA		PUAL	synthetic_template:PUAL	בֻגַּק	בגק			בֻגַּק	בגק			False	False	False	synthetic_v1	synthetic_v1:lexeme:בגק:PUAL	SYNTHETIC		1.0		False							9	9	9	1.0	True	False	1.0	1.0	1.0	GOLD	SYNTHETIC
SYN-LX-63b9d1f410	x-syn-heb	SYN-RT-92e344ef0c	ב-ג-ק	NA		HIFIL	synthetic_template:HIFIL	הִבְגִיק	הבגיק			הִבְגִיק	הבגיק			False	False	False	synthetic_v1	synthetic_v1:lexeme:בגק:HIFIL	SYNTHETIC		1.0		False							9	9	9	1.0	True	False	1.0	1.0	1.0	GOLD	SYNTHETIC
SYN-LX-fc1659d011	x-syn-heb	SYN-RT-92e344ef0c	ב-ג-ק	NA		HUFAL	synthetic_template:HUFAL	הֻבְגַק	הבגק			הֻבְגַק	הבגק			False	False	False	synthetic_v1	synthetic_v1:lexeme:בגק:HUFAL	SYNTHETIC		1.0		False							9	9	9	1.0	True	False	1.0	1.0	1.0	GOLD	SYNTHETIC
SYN-LX-d2c504c92b	x-syn-heb	SYN-RT-92e344ef0c	ב-ג-ק	NA		HITPAEL	synthetic_template:HITPAEL	הִתְבַגֵּק	התבגק			הִתְבַגֵּק	התבגק			False	False	False	synthetic_v1	synthetic_v1:lexeme:בגק:HITPAEL	SYNTHETIC		1.0		False							9	9	9	1.0	True	False	1.0	1.0	1.0	GOLD	SYNTHETIC
SYN-LX-f9381c3af2	x-syn-heb	SYN-RT-dbfaa7703a	ב-ג-שׁ	SOURCE		PAAL	synthetic_template:PAAL	בָגַשׁ	בגש			בָגַשׁ	בגש			False	False	False	synthetic_v1	synthetic_v1:lexeme:בגשׁ:PAAL	SYNTHETIC		1.0		False							9	9	9	1.0	True	False	1.0	1.0	1.0	GOLD	SYNTHETIC
