provenance_id	canonical_record_id	record_type	field_supported	source_name	source_url	source_file	source_version_or_commit	source_record_identifier	source_line_if_available	retrieval_date	parser_version	raw_source_value
SYN-PV0000000	SYN-RT-4b918b4f1f	root	root	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	root:בגז		generated (deterministic from config + seed)	0.1.0	ב-ג-ז
SYN-PV0000001	SYN-LX-6bc435e62d.PST.1SG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PAAL:PST.1SG		generated (deterministic from config + seed)	0.1.0	1ָ2ַ3ְתִּי
SYN-PV0000002	SYN-LX-6bc435e62d.PST.2MSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PAAL:PST.2MSG		generated (deterministic from config + seed)	0.1.0	1ָ2ַ3ְתָּ
SYN-PV0000003	SYN-LX-6bc435e62d.PST.2FSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PAAL:PST.2FSG		generated (deterministic from config + seed)	0.1.0	1ָ2ַ3ְתְּ
SYN-PV0000004	SYN-LX-6bc435e62d.PST.3MSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PAAL:PST.3MSG		generated (deterministic from config + seed)	0.1.0	1ָ2ַ3
SYN-PV0000005	SYN-LX-6bc435e62d.PST.3FSG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PAAL:PST.3FSG		generated (deterministic from config + seed)	0.1.0	1ָ2ְ3ָה
SYN-PV0000006	SYN-LX-6bc435e62d.PST.1PL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PAAL:PST.1PL		generated (deterministic from config + seed)	0.1.0	1ָ2ַ3ְנוּ
SYN-PV0000007	SYN-LX-6bc435e62d.PST.2MPL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PAAL:PST.2MPL		generated (deterministic from config + seed)	0.1.0	1ְ2ַ3ְתֶּם
SYN-PV0000008	SYN-LX-6bc435e62d.PST.2FPL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PAAL:PST.2FPL		generated (deterministic from config + seed)	0.1.0	1ְ2ַ3ְתֶּן
SYN-PV0000009	SYN-LX-6bc435e62d.PST.3PL	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:PAAL:PST.3PL		generated (deterministic from config + seed)	0.1.0	1ָ2ְ3וּ
SYN-PV0000010	SYN-LX-6bc435e62d	lexeme	root+template	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	lexeme:בגז:PAAL		generated (deterministic from config + seed)	0.1.0	"{""PST.3MSG"": ""1ָ2ַ3"", ""PST.3FSG"": ""1ָ2ְ3ָה"", ""PST.3PL"": ""1ָ2ְ3וּ"", ""PST.1SG"": ""1ָ2ַ3ְתִּי"", ""PST.2MSG"": ""1ָ2ַ3ְתָּ"", ""PST.2FSG"": ""1ָ2ַ3ְתְּ"", ""PST.1PL"": ""1ָ2ַ3ְנוּ"", ""PST.2MPL"": ""1ְ2ַ3ְתֶּם"", ""PST.2FPL"": ""1ְ2ַ3ְתֶּן""}"
SYN-PV0000011	SYN-LX-47e2cc93d0.PST.1SG	form	form_vocalized	synthetic_v1	generated://hebmorph/synthetic_v1?seed=12345	synthetic_config.json	0.1.0	template:NIFAL:PST.1SG		generated (deterministic from config + seed)	0.1.0	נִ1ְ2ַ3ְתִּי
