root_id	root_raw	root_normalized	radical_1	radical_2	radical_3	radical_4	radical_5	root_length	traditional_class	traditional_class_raw	r1_is_nun	r1_is_yod	r1_is_waw	r1_is_alef	r2_is_yod	r2_is_waw	r3_is_he	r3_is_yod	r3_is_alef	rfinal_is_he	r1_is_guttural	r2_is_guttural	r3_is_guttural	has_resh	is_geminate	is_reduplicated_quadriliteral	has_weak_radical	structural_signature	structural_class	sc_strong	sc_final_he	sc_hollow_candidate	sc_initial_nun	sc_initial_yod_waw	sc_geminate	sc_guttural_containing	sc_quadriliteral	root_orthographic	orthographic_root_group_id	n_lexemes	binyanim	source_primary	source_ids	confidence	quality_tier	quality_flags
SYN-RT-4b918b4f1f	ב-ג-ז	בגז	ב	ג	ז			3			False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	C.C.C	strong	True	False	False	False	False	False	False	False	בגז	SYN-RG-42830d10f9	7	HIFIL|HITPAEL|HUFAL|NIFAL|PAAL|PIEL|PUAL	synthetic_v1	synthetic_v1:root:בגז	1.0	GOLD	SYNTHETIC
SYN-RT-d80447359c	ב-ג-ל	בגל	ב	ג	ל			3			False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	C.C.C	strong	True	False	False	False	False	False	False	False	בגל	SYN-RG-46b35e8325	7	HIFIL|HITPAEL|HUFAL|NIFAL|PAAL|PIEL|PUAL	synthetic_v1	synthetic_v1:root:בגל	1.0	GOLD	SYNTHETIC
SYN-RT-7f09df643b	ב-ג-פ	בגפ	ב	ג	פ			3			False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	C.C.C	strong	True	False	False	False	False	False	False	False	בגפ	SYN-RG-e3fa10450a	7	HIFIL|HITPAEL|HUFAL|NIFAL|PAAL|PIEL|PUAL	synthetic_v1	synthetic_v1:root:בגפ	1.0	GOLD	SYNTHETIC
SYN-RT-92e344ef0c	ב-ג-ק	בגק	ב	ג	ק			3			False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	C.C.C	strong	True	False	False	False	False	False	False	False	בגק	SYN-RG-aae758fc40	7	HIFIL|HITPAEL|HUFAL|NIFAL|PAAL|PIEL|PUAL	synthetic_v1	synthetic_v1:root:בגק	1.0	GOLD	SYNTHETIC
SYN-RT-dbfaa7703a	ב-ג-שׁ	בגשׁ	ב	ג	ש			3			False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	C.C.C	strong	True	False	False	False	False	False	False	False	בגש	SYN-RG-b0026e937b	7	HIFIL|HITPAEL|HUFAL|NIFAL|PAAL|PIEL|PUAL	synthetic_v1	synthetic_v1:root:בגשׁ	1.0	GOLD	SYNTHETIC
SYN-RT-a306470cc2	ב-ד-ל	בדל	ב	ד	ל			3			False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	C.C.C	strong	True	False	False	False	False	False	False	False	בדל	SYN-RG-9bd80e0705	7	HIFIL|HITPAEL|HUFAL|NIFAL|PAAL|PIEL|PUAL	synthetic_v1	synthetic_v1:root:בדל	1.0	GOLD	SYNTHETIC
SYN-RT-be428f7c1d	ב-ד-צ	בדצ	ב	ד	צ			3			False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	C.C.C	strong	True	False	False	False	False	False	False	False	בדצ	SYN-RG-434305c9a2	7	HIFIL|HITPAEL|HUFAL|NIFAL|PAAL|PIEL|PUAL	synthetic_v1	synthetic_v1:root:בדצ	1.0	GOLD	SYNTHETIC
SYN-RT-06d364d37d	ב-ד-ק	בדק	ב	ד	ק			3			False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	C.C.C	strong	True	False	False	False	False	False	False	False	בדק	SYN-RG-36d7c8da81	7	HIFIL|HITPAEL|HUFAL|NIFAL|PAAL|PIEL|PUAL	synthetic_v1	synthetic_v1:root:בדק	1.0	GOLD	SYNTHETIC
SYN-RT-a0399e8622	ב-ז-ד	בזד	ב	ז	ד			3			False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	C.C.C	strong	True	False	False	False	False	False	False	False	בזד	SYN-RG-b5843eea4a	7	HIFIL|HITPAEL|HUFAL|NIFAL|PAAL|PIEL|PUAL	synthetic_v1	synthetic_v1:root:בזד	1.0	GOLD	SYNTHETIC
SYN-RT-1c185e4123	ב-ז-ט	בזט	ב	ז	ט			3			False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	C.C.C	strong	True	False	False	False	False	False	False	False	בזט	SYN-RG-6779829137	7	HIFIL|HITPAEL|HUFAL|NIFAL|PAAL|PIEL|PUAL	synthetic_v1	synthetic_v1:root:בזט	1.0	GOLD	SYNTHETIC
SYN-RT-dc4517ea8b	ב-ז-צ	בזצ	ב	ז	צ			3			False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	C.C.C	strong	True	False	False	False	False	False	False	False	בזצ	SYN-RG-477206ba8f	7	HIFIL|HITPAEL|HUFAL|NIFAL|PAAL|PIEL|PUAL	synthetic_v1	synthetic_v1:root:בזצ	1.0	GOLD	SYNTHETIC
SYN-RT-69664069bb	ב-ט-ק	בטק	ב	ט	ק			3			False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	C.C.C	strong	True	False	False	False	False	False	False	False	בטק	SYN-RG-580d5fb25b	7	HIFIL|HITPAEL|HUFAL|NIFAL|PAAL|PIEL|PUAL	synthetic_v1	synthetic_v1:root:בטק	1.0	GOLD	SYNTHETIC
SYN-RT-56007fff3c	ב-כ-ז	בכז	ב	כ	ז			3			False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	C.C.C	strong	True	False	False	False	False	False	False	False	בכז	SYN-RG-e54ede5933	7	HIFIL|HITPAEL|HUFAL|NIFAL|PAAL|PIEL|PUAL	synthetic_v1	synthetic_v1:root:בכז	1.0	GOLD	SYNTHETIC
