eq_id	root_symbol	template_symbol	cell_symbol	target_voc	target_unv	analysis__root_id	analysis__root	analysis__binyan	analysis__cell	analysis__form_id	analysis__r1	analysis__r2	analysis__r3
R000|T0|C0	R000	T0	C0	נִלְזַשְׁתִּי	נלזשתי	SYN-RT-e6bfdc3a00	לזשׁ	NIFAL	PST.1SG	SYN-LX-187df2cb03.PST.1SG	ל	ז	שׁ
R000|T0|C1	R000	T0	C1	נִלְזַשְׁתָּ	נלזשת	SYN-RT-e6bfdc3a00	לזשׁ	NIFAL	PST.2MSG	SYN-LX-187df2cb03.PST.2MSG	ל	ז	שׁ
R000|T0|C2	R000	T0	C2	נִלְזַשְׁתְּ	נלזשת	SYN-RT-e6bfdc3a00	לזשׁ	NIFAL	PST.2FSG	SYN-LX-187df2cb03.PST.2FSG	ל	ז	שׁ
R000|T0|C3	R000	T0	C3	נִלְזַשׁ	נלזש	SYN-RT-e6bfdc3a00	לזשׁ	NIFAL	PST.3MSG	SYN-LX-187df2cb03.PST.3MSG	ל	ז	שׁ
R000|T0|C4	R000	T0	C4	נִלְזְשָׁה	נלזשה	SYN-RT-e6bfdc3a00	לזשׁ	NIFAL	PST.3FSG	SYN-LX-187df2cb03.PST.3FSG	ל	ז	שׁ
R000|T0|C5	R000	T0	C5	נִלְזַשְׁנוּ	נלזשנו	SYN-RT-e6bfdc3a00	לזשׁ	NIFAL	PST.1PL	SYN-LX-187df2cb03.PST.1PL	ל	ז	שׁ
R000|T0|C6	R000	T0	C6	נִלְזַשְׁתֶּם	נלזשתם	SYN-RT-e6bfdc3a00	לזשׁ	NIFAL	PST.2MPL	SYN-LX-187df2cb03.PST.2MPL	ל	ז	שׁ
R000|T0|C7	R000	T0	C7	נִלְזַשְׁתֶּן	נלזשתן	SYN-RT-e6bfdc3a00	לזשׁ	NIFAL	PST.2FPL	SYN-LX-187df2cb03.PST.2FPL	ל	ז	שׁ
R000|T0|C8	R000	T0	C8	נִלְזְשׁוּ	נלזשו	SYN-RT-e6bfdc3a00	לזשׁ	NIFAL	PST.3PL	SYN-LX-187df2cb03.PST.3PL	ל	ז	שׁ
R000|T1|C0	R000	T1	C0	הִלְזַשְׁתִּי	הלזשתי	SYN-RT-e6bfdc3a00	לזשׁ	HIFIL	PST.1SG	SYN-LX-40a7443772.PST.1SG	ל	ז	שׁ
R000|T1|C1	R000	T1	C1	הִלְזַשְׁתָּ	הלזשת	SYN-RT-e6bfdc3a00	לזשׁ	HIFIL	PST.2MSG	SYN-LX-40a7443772.PST.2MSG	ל	ז	שׁ
