duplicate_type	record_ids	lemma	details
WIKT_ENTRY_FOR_EXISTING_ROOT_BINYAN	wikt:entry:p13707:r512958:o4752:t0	שִׁיֵּט	שוט x PIEL already represented by a UniMorph lexeme; entry not added
WIKT_ENTRY_FOR_EXISTING_ROOT_BINYAN	wikt:entry:p31206:r454169:o930:t0	פִּסְפֵּס	פספס x PIEL already represented by a UniMorph lexeme; entry not added
WIKT_ENTRY_FOR_EXISTING_ROOT_BINYAN	wikt:entry:p42747:r519679:o3595:t0	שֹׂרַף	שרפ x PAAL already represented by a UniMorph lexeme; entry not added
WIKT_ENTRY_FOR_EXISTING_ROOT_BINYAN	wikt:entry:p53008:r516076:o119:t0	כִּוֵּן	כונ x PIEL already represented by a UniMorph lexeme; entry not added
WIKT_ENTRY_FOR_EXISTING_ROOT_BINYAN	wikt:entry:p55161:r489306:o4064:t0	נָגִיד	נגד x HIFIL already represented by a UniMorph lexeme; entry not added
WIKT_ENTRY_FOR_EXISTING_ROOT_BINYAN	wikt:entry:p56330:r516121:o1:t0	דּוֹמֵם	דממ x PIEL already represented by a UniMorph lexeme; entry not added
DUPLICATE_ROOT_BINYAN	LX-828b91b0c3|LX-505eab44cd	הִתְוַכֵּחַ / הִתְוַכֵּחַ	2 lexeme records for root יכח x HITPAEL
DUPLICATE_ROOT_BINYAN	LX-a646782180|LX-35856ad369	קָטַן / קָטֹן	2 lexeme records for root קטנ x PAAL
DUPLICATE_ROOT_BINYAN	LX-c7b74d3dc8|LX-4eee71a503	הִתְנַיֵּד / הִתְנוֹדֵד	2 lexeme records for root נוד x HITPAEL
DUPLICATE_ROOT_BINYAN	LX-46649dcccb|LX-bc1059121a	שִׁיֵּר / שׁוֹרֵר	2 lexeme records for root שׁיר x PIEL
DUPLICATE_ROOT_BINYAN	LX-0b9b9f3bd0|LX-50ef95f0eb	קִיֵּץ / קִוֵּץ	2 lexeme records for root קוצ x PIEL
DUPLICATE_ROOT_BINYAN	LX-b115b6ca31|LX-4c69d82640	רִפְרֵף / רִפְּרֵפּ	2 lexeme records for root רפרפ x PIEL
DUPLICATE_ROOT_BINYAN	LX-134b03d5f6|LX-bf35288856	דַּל / דָּלַל	2 lexeme records for root דלל x PAAL
DUPLICATE_ROOT_BINYAN	LX-b8c91ce3e8|LX-1f460534d2	סָכַךְ / סַךְ	2 lexeme records for root סככ x PAAL
DUPLICATE_ROOT_BINYAN	LX-7d051ce0ec|LX-44c2655f1b	אִכֵּף / אֻכַּף	2 lexeme records for root אכפ x PIEL
DUPLICATE_ROOT_BINYAN	LX-ad8d500584|LX-76ce1005b0	צַר / צָרַר	2 lexeme records for root צרר x PAAL
DUPLICATE_ROOT_BINYAN	LX-7e6c7c2120|LX-7210ba5679	גַּל / גָּלַל	2 lexeme records for root גלל x PAAL
DUPLICATE_ROOT_BINYAN	LX-bc0c52a84e|LX-46bf98b386	טִוַּח / טִיַּח	2 lexeme records for root טוח x PIEL
DUPLICATE_ROOT_BINYAN	LX-5a100c26b6|LX-7f5648790f	צוֹתֵת / צִוֵּת	2 lexeme records for root צות x PIEL
DUPLICATE_ROOT_BINYAN	LX-fce425f1c8|LX-0e7b45ec35	נִחָר / נֶחֱרָה	2 lexeme records for root חרה x NIFAL
DUPLICATE_ROOT_BINYAN	LX-cc3f2398fd|LX-b8c9b0da56	פִּלַּח / פִלֵּחַ	2 lexeme records for root פלח x PIEL
