dimension	value	lexemes	mean_past_completeness	complete_9cell	observed_past_cells
ALL	ALL	2945	0.4283	1051	11353
binyan	HIFIL	331	0.4441	124	1323
binyan	HITPAEL	246	0.4544	95	1006
binyan	HUFAL	47	0.6028	26	255
binyan	NIFAL	186	0.3453	49	578
binyan	PAAL	998	0.4193	346	3766
binyan	PIEL	831	0.3229	198	2415
binyan	PUAL	121	0.3168	28	345
binyan	UNKNOWN	185	1.0	185	1665
structural_class	UNKNOWN_ROOT	193	1.0	193	1737
structural_class	final_alef	48	0.6296	28	272
structural_class	final_he	251	0.4192	87	947
structural_class	geminate	239	0.271	43	583
structural_class	guttural_containing	606	0.3898	190	2126
structural_class	hollow_candidate	308	0.3535	84	980
structural_class	initial_alef	91	0.4823	38	395
structural_class	initial_nun	175	0.426	62	671
structural_class	initial_yod_waw	111	0.4635	44	463
structural_class	quadriliteral	216	0.2593	36	504
structural_class	strong	707	0.4204	246	2675
quality_tier	GOLD	259	1.0	259	2331
quality_tier	QUESTIONABLE	315	0.7291	219	2067
quality_tier	SILVER	2371	0.3259	573	6955
source_primary	hewiktionary	1903	0.1153	9	1975
source_primary	unimorph_heb	1042	1.0	1042	9378
