dimension	value	roots
structural_class	strong	428
structural_class	guttural_containing	383
structural_class	quadriliteral	185
structural_class	hollow_candidate	181
structural_class	final_he	145
structural_class	geminate	132
structural_class	initial_nun	89
structural_class	initial_yod_waw	63
structural_class	initial_alef	54
structural_class	final_alef	25
structural_signature	C.C.C	216
structural_signature	C.C.C+GEM	68
structural_signature	C.R.C	67
structural_signature	C.C.R	65
structural_signature	C.C.C.C	56
structural_signature	C.W.C	53
structural_signature	C.C.H	51
structural_signature	N.C.C	43
structural_signature	X.C.C	41
structural_signature	C.C.X	40
structural_signature	E.C.C	39
structural_signature	C.X.C	38
structural_signature	C.C.E	30
structural_signature	R.C.C	30
structural_signature	C.E.C	27
structural_signature	C.Y.C	27
structural_signature	C.C.N	26
structural_signature	A.C.C	26
structural_signature	C.N.C	18
structural_signature	Y.C.C	18
structural_signature	C.R.C.C	17
structural_signature	C.C.A	15
structural_signature	C.A.C	12
structural_signature	X.C.H	11
structural_signature	N.C.R	11
structural_signature	C.R.R+GEM	11
structural_signature	X.R.C	11
structural_signature	X.C.C+GEM	10
structural_signature	N.C.H	10
structural_signature	C.H.C	10
structural_signature	E.C.R	9
structural_signature	E.R.C	9
structural_signature	C.R.H	9
structural_signature	C.W.R	9
structural_signature	C.R.X	9
structural_signature	X.C.R	9
structural_signature	A.C.R	9
structural_signature	C.E.R	8
structural_signature	N.C.X	8
structural_signature	C.H.H+GEM	8
structural_signature	C.N.H	8
structural_signature	C.W.H	8
structural_signature	C.E.H	7
structural_signature	C.N.N+GEM	7
structural_signature	Y.C.E	7
structural_signature	R.C.H	7
structural_signature	C.N.C.C	7
structural_signature	C.R.E	7
structural_signature	C.W.X	7
structural_signature	N.W.C	7
structural_signature	H.C.C	7
structural_signature	E.C.H	6
structural_signature	E.W.C	6
structural_signature	R.X.C	6
structural_signature	R.E.C	6
structural_signature	C.R.C.R	6
structural_signature	Y.C.R	6
structural_signature	R.C.E	6
structural_signature	C.E.C.E	6
structural_signature	X.W.C	5
structural_signature	X.N.C	5
structural_signature	A.C.H	5
structural_signature	C.H.R	5
structural_signature	C.A.H	5
structural_signature	Y.X.C	5
structural_signature	A.R.C	5
structural_signature	A.C.C.C	5
structural_signature	N.C.E	5
structural_signature	X.C.N	5
structural_signature	E.N.C	5
structural_signature	C.X.N	5
structural_signature	C.W.N	5
structural_signature	A.C.C+GEM	5
structural_signature	Y.R.C	4
structural_signature	E.C.C+GEM	4
structural_signature	A.W.C	4
structural_signature	C.N.X	4
structural_signature	N.H.C	4
structural_signature	C.A.R	4
structural_signature	Y.E.C	4
structural_signature	N.C.N.C	4
structural_signature	R.Y.C	4
structural_signature	C.N.C.R	4
structural_signature	E.R.C.C	4
structural_signature	H.C.H	4
structural_signature	A.C.N	4
structural_signature	C.Y.N	4
structural_signature	N.X.C	4
structural_signature	E.C.N	4
structural_signature	Y.C.H	3
structural_signature	X.Y.C	3
structural_signature	C.R.A	3
structural_signature	C.X.R	3
structural_signature	N.A.C	3
structural_signature	C.Y.X	3
structural_signature	H.C.C+GEM	3
structural_signature	C.X.H	3
structural_signature	X.C.C.C	3
structural_signature	A.C.C.N	3
structural_signature	R.C.N	3
structural_signature	C.W.E	3
structural_signature	R.C.X	3
structural_signature	C.C.N.C.N	3
structural_signature	R.C.C+GEM	3
structural_signature	C.C.R.R	3
structural_signature	C.A.N	3
structural_signature	C.C.C.N	3
structural_signature	H.C.R	3
structural_signature	C.C.C.R	3
