level	syncretism_group	lexeme_id	form	n_cells	cells	past_cells	cross_tense	binyan
vocalized	LX-00018e7d56:V1	LX-00018e7d56	תִּכְאַב	2	FUT.2MSG|FUT.3FSG		False	PAAL
vocalized	LX-00018e7d56:V2	LX-00018e7d56	תִּכְאַבְנָה	2	FUT.2FPL|FUT.3FPL		False	PAAL
vocalized	LX-001c057dd4:V1	LX-001c057dd4	תָּנִיחַ	2	FUT.2MSG|FUT.3FSG		False	HIFIL
vocalized	LX-001c057dd4:V2	LX-001c057dd4	תָּנַחְנָה	2	FUT.2FPL|FUT.3FPL		False	HIFIL
vocalized	LX-006a00a0ca:V1	LX-006a00a0ca	תִּכְתֹּב	2	FUT.2MSG|FUT.3FSG		False	PAAL
vocalized	LX-006a00a0ca:V2	LX-006a00a0ca	תִּכְתֹּבְנָה	2	FUT.2FPL|FUT.3FPL		False	PAAL
vocalized	LX-00779369da:V1	LX-00779369da	תִּתְמַהּ	2	FUT.2MSG|FUT.3FSG		False	
vocalized	LX-00779369da:V2	LX-00779369da	תִּתְמַהְנָה	2	FUT.2FPL|FUT.3FPL		False	
vocalized	LX-00da7c63c1:V1	LX-00da7c63c1	תַּם	2	PST.3MSG|PRS.MSG	PST.3MSG	True	PAAL
vocalized	LX-00ebeb3c62:V1	LX-00ebeb3c62	תְּרֻתַּךְ	2	FUT.2MSG|FUT.3FSG		False	
vocalized	LX-00ebeb3c62:V2	LX-00ebeb3c62	תְּרֻתַּכְנָה	2	FUT.2FPL|FUT.3FPL		False	
vocalized	LX-01012cf3d7:V1	LX-01012cf3d7	תְּחַיֵּךְ	2	FUT.2MSG|FUT.3FSG		False	PIEL
vocalized	LX-01012cf3d7:V2	LX-01012cf3d7	תְּחַיֵּכְנָה	2	FUT.2FPL|FUT.3FPL		False	PIEL
vocalized	LX-013b1f126e:V1	LX-013b1f126e	הִשְׂתַּכֵּר	2	PST.3MSG|IMP.2MSG	PST.3MSG	True	HITPAEL
vocalized	LX-013b1f126e:V2	LX-013b1f126e	הִשְׂתַּכְּרוּ	2	PST.3PL|IMP.2MPL	PST.3PL	True	HITPAEL
vocalized	LX-013b1f126e:V3	LX-013b1f126e	תִּשְׂתַּכֵּר	2	FUT.2MSG|FUT.3FSG		False	HITPAEL
vocalized	LX-013b1f126e:V4	LX-013b1f126e	תִּשְׂתַּכֵּרְנָה	2	FUT.2FPL|FUT.3FPL		False	HITPAEL
vocalized	LX-01501bd7f5:V1	LX-01501bd7f5	תַּקִּיף	2	FUT.2MSG|FUT.3FSG		False	HIFIL
vocalized	LX-01501bd7f5:V2	LX-01501bd7f5	תַּקֵּפְנָה	2	FUT.2FPL|FUT.3FPL		False	HIFIL
vocalized	LX-0175462ba3:V1	LX-0175462ba3	תִּקְדַּם	2	FUT.2MSG|FUT.3FSG		False	PAAL
vocalized	LX-0175462ba3:V2	LX-0175462ba3	תִּקְדַּמְנָה	2	FUT.2FPL|FUT.3FPL		False	PAAL
vocalized	LX-0183a3d20c:V1	LX-0183a3d20c	תֶּאֱנֹס	2	FUT.2MSG|FUT.3FSG		False	PAAL
vocalized	LX-0183a3d20c:V2	LX-0183a3d20c	תֶּאֱנֹסְנָה	2	FUT.2FPL|FUT.3FPL		False	PAAL
vocalized	LX-01f5e31b41:V1	LX-01f5e31b41	תַּפְטִיר	2	FUT.2MSG|FUT.3FSG		False	HIFIL
