level	cells	n_lexemes
unvocalized	FUT.2MSG|FUT.3FSG	1040
unvocalized	FUT.2FPL|FUT.3FPL	1039
unvocalized	PST.2MSG|PST.2FSG	975
unvocalized	PST.3PL|IMP.2MPL	606
unvocalized	PST.3MSG|IMP.2MSG	329
unvocalized	PST.3MSG|PRS.MSG	108
unvocalized	PRS.MSG|PRS.FSG	94
unvocalized	PST.2MSG|PST.2FSG|PRS.FSG	66
unvocalized	PST.3FSG|PRS.FSG	52
unvocalized	PST.1PL|PST.3PL	26
unvocalized	PST.1PL|PST.3PL|IMP.2MPL	23
unvocalized	PST.3MSG|PRS.MSG|IMP.2MSG	19
unvocalized	PST.3FSG|IMP.2FPL	18
unvocalized	PST.3FSG|MSDR	18
unvocalized	IMP.2FPL|MSDR	9
unvocalized	PST.3MSG|FUT.3MSG	6
unvocalized	PST.3PL|FUT.3MPL	6
unvocalized	IMP.2MSG|MSDR	5
unvocalized	PRS.MSG|FUT.1SG	5
unvocalized	PST.3FSG|PRS.FSG|IMP.2FPL	5
unvocalized	PST.3FSG|PRS.FSG|MSDR	4
unvocalized	PST.3MSG|PRS.MSG|PRS.FSG|IMP.2MSG	4
unvocalized	PST.3MSG|IMP.2MSG|MSDR	3
unvocalized	PRS.MSG|MSDR	2
unvocalized	PRS.MSG|PRS.FSG|FUT.1SG	2
unvocalized	PRS.FSG|IMP.2MSG	1
unvocalized	PRS.FSG|MSDR	1
unvocalized	PRS.MSG|IMP.2MSG	1
unvocalized	PST.2MSG|PST.2FSG|PRS.FPL	1
unvocalized	PST.3FSG|IMP.2FPL|MSDR	1
unvocalized	PST.3MSG|MSDR	1
unvocalized	PST.3MSG|PRS.MSG|FUT.1PL	1
vocalized	FUT.2MSG|FUT.3FSG	1049
vocalized	FUT.2FPL|FUT.3FPL	1040
vocalized	PST.3MSG|IMP.2MSG	211
vocalized	PST.3PL|IMP.2MPL	179
vocalized	PST.3MSG|PRS.MSG	84
vocalized	PST.3FSG|PRS.FSG	42
vocalized	PST.2FSG|PRS.FSG	14
vocalized	PST.3MSG|PRS.MSG|IMP.2MSG	4
vocalized	PST.3MSG|PRS.FSG	3
vocalized	FUT.3MSG|FUT.1PL	2
vocalized	FUT.3MSG|NFIN	1
vocalized	IMP.2MSG|MSDR	1
vocalized	PRS.FSG|MSDR	1
vocalized	PRS.MSG|IMP.2MSG	1
vocalized	PST.2FSG|PRS.FPL	1
vocalized	PST.3MSG|FUT.1PL	1
vocalized	PST.3MSG|FUT.3MSG	1
