pair_id	partition
LX-00018e7d56:PST.1PL>PST.2FPL	train
LX-00018e7d56:PST.1PL>PST.2FSG	train
LX-00018e7d56:PST.1PL>PST.2MSG	train
LX-00018e7d56:PST.1PL>PST.3FSG	train
LX-00018e7d56:PST.1PL>PST.3MSG	train
LX-00018e7d56:PST.2FPL>PST.1PL	train
LX-00018e7d56:PST.2FPL>PST.2FSG	train
LX-00018e7d56:PST.2FPL>PST.2MSG	train
LX-00018e7d56:PST.2FPL>PST.3FSG	train
LX-00018e7d56:PST.2FPL>PST.3MSG	train
LX-00018e7d56:PST.2FSG>PST.1PL	train
LX-00018e7d56:PST.2FSG>PST.2FPL	train
LX-00018e7d56:PST.2FSG>PST.2MSG	train
LX-00018e7d56:PST.2FSG>PST.3FSG	train
LX-00018e7d56:PST.2FSG>PST.3MSG	train
LX-00018e7d56:PST.2MSG>PST.1PL	train
LX-00018e7d56:PST.2MSG>PST.2FPL	train
LX-00018e7d56:PST.2MSG>PST.2FSG	train
LX-00018e7d56:PST.2MSG>PST.3FSG	train
LX-00018e7d56:PST.2MSG>PST.3MSG	train
LX-00018e7d56:PST.3FSG>PST.1PL	train
LX-00018e7d56:PST.3FSG>PST.2FPL	train
LX-00018e7d56:PST.3FSG>PST.2FSG	train
LX-00018e7d56:PST.3FSG>PST.2MSG	train
LX-00018e7d56:PST.3FSG>PST.3MSG	train
LX-00018e7d56:PST.3MSG>PST.1PL	train
LX-00018e7d56:PST.3MSG>PST.2FPL	train
LX-00018e7d56:PST.3MSG>PST.2FSG	train
LX-00018e7d56:PST.3MSG>PST.2MSG	train
LX-00018e7d56:PST.3MSG>PST.3FSG	train
LX-001c057dd4:PST.1PL>PST.1SG	train
LX-001c057dd4:PST.1PL>PST.2FPL	train
LX-001c057dd4:PST.1PL>PST.2FSG	train
LX-001c057dd4:PST.1PL>PST.2MSG	train
LX-001c057dd4:PST.1PL>PST.3MSG	train
LX-001c057dd4:PST.1SG>PST.1PL	train
LX-001c057dd4:PST.1SG>PST.2FPL	train
LX-001c057dd4:PST.1SG>PST.2FSG	train
LX-001c057dd4:PST.1SG>PST.2MSG	train
LX-001c057dd4:PST.1SG>PST.3MSG	train
LX-001c057dd4:PST.2FPL>PST.1PL	train
LX-001c057dd4:PST.2FPL>PST.1SG	train
LX-001c057dd4:PST.2FPL>PST.2FSG	train
LX-001c057dd4:PST.2FPL>PST.2MSG	train
LX-001c057dd4:PST.2FPL>PST.3MSG	train
LX-001c057dd4:PST.2FSG>PST.1PL	train
LX-001c057dd4:PST.2FSG>PST.1SG	train
LX-001c057dd4:PST.2FSG>PST.2FPL	train
LX-001c057dd4:PST.2FSG>PST.2MSG	train
LX-001c057dd4:PST.2FSG>PST.3MSG	train
LX-001c057dd4:PST.2MSG>PST.1PL	train
LX-001c057dd4:PST.2MSG>PST.1SG	train
LX-001c057dd4:PST.2MSG>PST.2FPL	train
LX-001c057dd4:PST.2MSG>PST.2FSG	train
LX-001c057dd4:PST.2MSG>PST.3MSG	train
LX-001c057dd4:PST.3MSG>PST.1PL	train
LX-001c057dd4:PST.3MSG>PST.1SG	train
LX-001c057dd4:PST.3MSG>PST.2FPL	train
LX-001c057dd4:PST.3MSG>PST.2FSG	train
LX-001c057dd4:PST.3MSG>PST.2MSG	train
LX-006a00a0ca:PST.1SG>PST.2FPL	train
LX-006a00a0ca:PST.1SG>PST.2MPL	train
