pair_id	partition
LX-00018e7d56:PST.3MSG>PST.1PL	train
LX-00018e7d56:PST.3MSG>PST.2FPL	train
LX-00018e7d56:PST.3MSG>PST.2FSG	train
LX-00018e7d56:PST.3MSG>PST.2MPL	train
LX-00018e7d56:PST.3MSG>PST.2MSG	train
LX-001c057dd4:PST.3MSG>PST.1SG	train
LX-001c057dd4:PST.3MSG>PST.2FPL	train
LX-001c057dd4:PST.3MSG>PST.2FSG	train
LX-001c057dd4:PST.3MSG>PST.2MPL	train
LX-001c057dd4:PST.3MSG>PST.3PL	train
LX-006a00a0ca:PST.3MSG>PST.1PL	train
LX-006a00a0ca:PST.3MSG>PST.1SG	train
LX-006a00a0ca:PST.3MSG>PST.2FPL	train
LX-006a00a0ca:PST.3MSG>PST.2MSG	train
LX-006a00a0ca:PST.3MSG>PST.3PL	train
LX-01012cf3d7:PST.3MSG>PST.1PL	train
LX-01012cf3d7:PST.3MSG>PST.2FSG	train
LX-01012cf3d7:PST.3MSG>PST.2MSG	train
LX-01012cf3d7:PST.3MSG>PST.3FSG	train
LX-01012cf3d7:PST.3MSG>PST.3PL	train
LX-013b1f126e:PST.3MSG>PST.1PL	train
LX-013b1f126e:PST.3MSG>PST.2FSG	train
LX-013b1f126e:PST.3MSG>PST.2MSG	train
LX-013b1f126e:PST.3MSG>PST.3FSG	train
LX-013b1f126e:PST.3MSG>PST.3PL	train
LX-01501bd7f5:PST.3MSG>PST.1PL	train
LX-01501bd7f5:PST.3MSG>PST.1SG	train
LX-01501bd7f5:PST.3MSG>PST.2FPL	train
LX-01501bd7f5:PST.3MSG>PST.2FSG	train
LX-01501bd7f5:PST.3MSG>PST.3PL	train
LX-0175462ba3:PST.3MSG>PST.1PL	train
LX-0175462ba3:PST.3MSG>PST.1SG	train
LX-0175462ba3:PST.3MSG>PST.2FSG	train
LX-0175462ba3:PST.3MSG>PST.2MSG	train
LX-0175462ba3:PST.3MSG>PST.3FSG	train
LX-0183a3d20c:PST.3MSG>PST.1PL	train
