pair_id	partition
LX-001c057dd4:PST.3MSG>PST.1PL	train
LX-001c057dd4:PST.3MSG>PST.1SG	train
LX-001c057dd4:PST.3MSG>PST.2FPL	train
LX-001c057dd4:PST.3MSG>PST.2FSG	train
LX-001c057dd4:PST.3MSG>PST.2MPL	train
LX-001c057dd4:PST.3MSG>PST.2MSG	train
LX-001c057dd4:PST.3MSG>PST.3FSG	train
LX-001c057dd4:PST.3MSG>PST.3PL	train
LX-01501bd7f5:PST.3MSG>PST.1PL	train
LX-01501bd7f5:PST.3MSG>PST.1SG	train
LX-01501bd7f5:PST.3MSG>PST.2FPL	train
LX-01501bd7f5:PST.3MSG>PST.2FSG	train
LX-01501bd7f5:PST.3MSG>PST.2MPL	train
LX-01501bd7f5:PST.3MSG>PST.2MSG	train
LX-01501bd7f5:PST.3MSG>PST.3FSG	train
LX-01501bd7f5:PST.3MSG>PST.3PL	train
LX-0367ea8cfa:PST.3MSG>PST.1PL	train
LX-0367ea8cfa:PST.3MSG>PST.1SG	train
LX-0367ea8cfa:PST.3MSG>PST.2FPL	train
LX-0367ea8cfa:PST.3MSG>PST.2FSG	train
LX-0367ea8cfa:PST.3MSG>PST.2MPL	train
LX-0367ea8cfa:PST.3MSG>PST.2MSG	train
LX-0367ea8cfa:PST.3MSG>PST.3FSG	train
LX-0367ea8cfa:PST.3MSG>PST.3PL	train
LX-03b4b36136:PST.3MSG>PST.1PL	train
LX-03b4b36136:PST.3MSG>PST.1SG	train
LX-03b4b36136:PST.3MSG>PST.2FPL	train
LX-03b4b36136:PST.3MSG>PST.2FSG	train
LX-03b4b36136:PST.3MSG>PST.2MPL	train
LX-03b4b36136:PST.3MSG>PST.2MSG	train
LX-03b4b36136:PST.3MSG>PST.3FSG	train
LX-03b4b36136:PST.3MSG>PST.3PL	train
LX-03d434e912:PST.3MSG>PST.1PL	train
LX-03d434e912:PST.3MSG>PST.1SG	train
LX-03d434e912:PST.3MSG>PST.2FPL	train
LX-03d434e912:PST.3MSG>PST.2FSG	train
LX-03d434e912:PST.3MSG>PST.2MPL	train
LX-03d434e912:PST.3MSG>PST.2MSG	train
LX-03d434e912:PST.3MSG>PST.3FSG	train
LX-03d434e912:PST.3MSG>PST.3PL	train
LX-04041d6ade:PST.3MSG>PST.1PL	train
LX-04041d6ade:PST.3MSG>PST.1SG	train
LX-04041d6ade:PST.3MSG>PST.2FPL	train
LX-04041d6ade:PST.3MSG>PST.2FSG	train
LX-04041d6ade:PST.3MSG>PST.2MPL	train
LX-04041d6ade:PST.3MSG>PST.2MSG	train
LX-04041d6ade:PST.3MSG>PST.3FSG	train
LX-04041d6ade:PST.3MSG>PST.3PL	train
LX-042da2e637:PST.3MSG>PST.1PL	train
LX-042da2e637:PST.3MSG>PST.1SG	train
LX-042da2e637:PST.3MSG>PST.2FPL	train
LX-042da2e637:PST.3MSG>PST.2FSG	train
LX-042da2e637:PST.3MSG>PST.2MPL	train
LX-042da2e637:PST.3MSG>PST.2MSG	train
LX-042da2e637:PST.3MSG>PST.3FSG	train
LX-042da2e637:PST.3MSG>PST.3PL	train
LX-060a887b96:PST.3MSG>PST.1PL	train
LX-060a887b96:PST.3MSG>PST.1SG	train
LX-060a887b96:PST.3MSG>PST.2FPL	train
